Area_Name,No_of_street_light,Type_Area,No_of_men,No_of_women,Women_safety_ratio,Safe_or_unsafe,range
Mavdi,34,Urban,4865,5641,0.45,Safe,4388698
Vallabh Vidyanagar,108,Suburban,958,2287,0.79,Unsafe,848210
Gondal Road,21,Suburban,9075,1540,0.24,Unsafe,1836756
Chandkheda,140,Suburban,890,7481,0.38,Safe,1168629
Karamsad,22,Rural,3082,5038,0.91,Unsafe,3290619
Naranpura,59,Suburban,8675,2420,0.93,Safe,3777674
Pal,43,Urban,8898,5462,0.31,Safe,3276787
Kalavad Road,122,Suburban,1863,2235,0.92,Unsafe,4436457
Joshipura,54,Suburban,2150,4498,0.36,Safe,2769976
Bhatar,187,Urban,3848,1243,0.84,Unsafe,8069065
Tarsali,18,Rural,7043,1934,0.79,Unsafe,4804784
Naranpura,186,Rural,9063,8924,0.05,Safe,8196235
Thaltej,22,Suburban,9521,927,0.99,Unsafe,6287068
Bedi Road,54,Urban,739,5573,0.07,Unsafe,8965858
Park Colony,180,Rural,3634,760,0.14,Safe,3744419
Alkapuri,108,Urban,60,176,0.02,Unsafe,1588402
Naranpura,3,Rural,6413,8379,0.6,Unsafe,5116580
Joshipura,100,Urban,5552,6641,0.05,Unsafe,132369
Rajkot Raiya Road,44,Rural,4711,6389,0.2,Unsafe,3840689
Palej,68,Urban,5607,6600,0.06,Unsafe,6987203
Borsad,49,Suburban,9279,5776,0.87,Safe,8116244
Naranpura,118,Urban,2038,9923,0.16,Unsafe,1020725
Kalwa Chowk,17,Rural,1655,7047,0.2,Unsafe,4073163
Rajkot Raiya Road,5,Urban,9523,9564,0.94,Unsafe,6498053
Khambhat,160,Suburban,2367,5140,0.34,Safe,3826554
University Road,26,Rural,7415,5567,0.87,Safe,7699831
Gotri,64,Urban,4466,7139,0.21,Safe,9353048
Bhavnath,175,Suburban,4330,2693,0.07,Safe,747328
Amod,125,Rural,6833,5064,0.62,Unsafe,6200178
Air Force Area,76,Urban,9108,6935,0.76,Safe,6292054
Palej,62,Rural,6178,7486,0.89,Unsafe,8297905
Vadtal,55,Urban,2441,9511,0.62,Unsafe,3957085
Malaviya Nagar,82,Urban,1208,4846,0.86,Unsafe,6699473
Ghatlodia,5,Suburban,2739,2547,0.97,Safe,9546863
Tarsali,188,Urban,9570,6910,0.02,Safe,9010967
Park Colony,44,Suburban,9459,1353,0.13,Safe,8379138
Rander,194,Suburban,8961,3083,0.14,Safe,5552618
Girnar Darwaza,101,Suburban,2395,9796,0.78,Safe,9620875
Jambusar,2,Urban,5000,9380,0.41,Unsafe,4415878
Subhash Nagar,0,Suburban,8783,5918,0.9,Unsafe,3143865
Sarkhej,194,Urban,208,9275,0.34,Safe,7306676
Joshipura,28,Urban,1372,50,0.37,Safe,1562998
Ghatlodia,168,Suburban,5633,806,0.03,Safe,3613334
Maninagar,28,Rural,7537,940,0.71,Unsafe,3695263
Nirmal Nagar,15,Urban,1022,3225,0.86,Unsafe,4759729
Karelibaug,11,Rural,3731,2601,0.72,Safe,1903660
Bhatar,111,Urban,8774,2257,0.51,Safe,4953218
Nirmal Nagar,163,Suburban,8081,2107,0.62,Safe,9261635
Subhash Nagar,64,Urban,4395,9083,0.88,Unsafe,3906690
Bhayani Ni Waadi,142,Rural,9694,2935,0.48,Unsafe,7477516
Fatehgunj,76,Suburban,2522,9308,0.6,Safe,3137123
Joshipura,64,Urban,2549,3124,0.12,Safe,694606
Sector 25,94,Rural,5774,7053,0.72,Unsafe,8041573
Kalawad Road,77,Rural,7297,2500,0.03,Unsafe,7785563
Kasak Circle,48,Rural,8041,1996,0.91,Unsafe,5364706
Bhavnath,170,Rural,6808,8324,0.05,Safe,5181210
Rajkot Raiya Road,105,Suburban,8457,9434,0.65,Safe,4590868
Tarsali,131,Urban,3292,6317,0.79,Safe,2495173
K V Road,68,Urban,9366,6702,0.49,Safe,2550809
Kalawad Road,171,Rural,3588,1412,0.11,Unsafe,2512375
Sector 28,126,Urban,502,3332,0.23,Safe,4355596
Chitra,24,Suburban,931,9566,0.02,Unsafe,160591
Vadtal,65,Rural,6809,9052,0.27,Safe,1854764
University Road,57,Urban,7433,4919,0.02,Safe,8443953
Morbi Road,97,Urban,2856,6871,0.69,Safe,4684934
Nirmal Nagar,159,Rural,7207,8836,0.71,Safe,539515
Zadeshwar,163,Urban,6670,8459,0.45,Unsafe,5585772
Piplod,98,Suburban,204,6830,0.16,Safe,1410570
Ankleshwar GIDC,27,Urban,7967,6408,0.44,Safe,6768409
Adajan,145,Rural,3247,5158,0.41,Unsafe,5453135
Rander,132,Suburban,5772,7443,0.73,Safe,3565413
Bharuch Narmada Road,137,Rural,5131,9031,0.46,Safe,4805050
Palej,186,Suburban,3473,1078,0.38,Safe,9924805
Anklav,77,Suburban,9446,6962,0.52,Safe,6016312
Borsad,46,Rural,397,5820,0.3,Unsafe,5125310
K V Road,160,Urban,3511,4332,0.57,Unsafe,5641766
Joshipura,61,Suburban,3608,1973,0.64,Unsafe,5643222
Borsad,81,Urban,2822,1432,0.01,Unsafe,9523317
Sayajigunj,70,Rural,3805,4132,0.68,Safe,675712
Bhutkhana Chowk,130,Suburban,1687,437,0.01,Unsafe,9240459
Satellite,150,Urban,964,4714,0.73,Safe,7421951
Ghogha Circle,161,Rural,2188,3999,0.25,Safe,703819
Sector 25,168,Rural,7708,8728,0.48,Safe,4854269
Sayajigunj,198,Suburban,3174,7256,0.37,Unsafe,543883
Sector 24,144,Urban,2166,5989,0.34,Safe,8509803
Bhakti Nagar,110,Rural,7769,2310,0.4,Safe,7224902
Kalwa Chowk,86,Rural,9769,6557,0.66,Unsafe,3696214
Karamsad,101,Urban,4127,6296,0.72,Unsafe,3339112
Jhagadia,108,Urban,1843,4741,0.46,Safe,5267607
Sector 28,85,Urban,3245,2078,0.91,Unsafe,9677282
Vesu,87,Rural,691,4763,0.83,Safe,6564475
Jhagadia,119,Suburban,2851,2596,0.61,Unsafe,8181657
Piplod,63,Suburban,9459,3913,0.43,Unsafe,640683
Chandkheda,43,Suburban,6863,9068,0.1,Unsafe,8820492
Bharuch Narmada Road,23,Rural,9917,6071,0.37,Unsafe,320461
Talav Gate,188,Urban,7722,1408,0.76,Unsafe,488691
Sector 25,27,Rural,1797,539,0.14,Safe,8596400
Akota,11,Suburban,7923,7506,0.24,Unsafe,1311239
Kalwa Chowk,2,Suburban,5433,1089,0.72,Safe,6237452
Sector 16,12,Rural,493,521,0.81,Unsafe,589926
Vastrapur,190,Rural,3160,8325,0.03,Safe,3652457
Dhoraji Road,15,Suburban,5908,8872,0.37,Safe,2632748
Boriavi,136,Suburban,1112,8988,0.43,Safe,2898552
Palej,10,Suburban,3483,3812,0.14,Safe,3681486
Girnar Darwaza,43,Rural,6295,1340,0.46,Unsafe,4663063
Ghogha Road,99,Suburban,4985,2791,0.01,Safe,5162607
Rander,1,Rural,39,7027,0.45,Safe,8510483
Kalwa Chowk,129,Suburban,1479,5953,0.86,Unsafe,1814718
Girnar Darwaza,31,Suburban,3123,1522,0.61,Safe,9230477
Alkapuri,113,Suburban,8235,5028,0.57,Safe,751715
Bhatar,156,Suburban,1762,6428,0.17,Safe,3000320
Jhagadia,44,Rural,7992,166,0.78,Unsafe,1280239
Tarsali,8,Rural,4308,7974,0.21,Safe,8413726
Vallabh Vidyanagar,166,Rural,4561,1232,0.63,Safe,3679788
Ranjit Sagar Road,18,Suburban,7144,7275,0.66,Unsafe,7146252
Ghanshyam Nagar,70,Suburban,5732,4757,0.72,Unsafe,8317459
Bhakti Nagar,161,Urban,1478,1793,0.86,Safe,1392719
Sama,112,Urban,4035,7247,0.62,Safe,9668685
University Road,74,Suburban,4079,6376,0.62,Unsafe,2127921
Ghatlodia,200,Urban,3001,3846,0.79,Unsafe,8996427
Athwa,154,Rural,112,6145,0.78,Safe,1990580
Vastrapur,119,Suburban,5907,1045,0.0,Safe,524385
Bhakti Nagar,88,Urban,3551,6818,0.02,Safe,8548645
Bhutkhana Chowk,184,Suburban,874,3976,0.91,Safe,2173630
Sabarmati,173,Urban,1540,6518,0.42,Unsafe,6157370
Morbi Road,177,Urban,1202,6628,0.6,Unsafe,4812380
Gotri,40,Rural,7196,1761,0.63,Unsafe,825428
Athwa,122,Suburban,3861,9342,0.24,Unsafe,4601543
Green City,101,Urban,7566,5238,0.32,Safe,823611
Thaltej,94,Suburban,624,7100,0.54,Unsafe,2550750
Alka Society,90,Urban,7590,1135,0.64,Unsafe,7168750
Vadtal,196,Rural,6533,5693,0.84,Unsafe,2158582
Park Colony,105,Suburban,4739,4461,0.72,Unsafe,3549877
Bhavnath,106,Rural,5019,7507,0.44,Safe,152773
Khambhat,112,Suburban,9360,5972,0.15,Unsafe,342782
P N Marg,181,Urban,1585,6815,0.64,Unsafe,4402764
Dhoraji Road,30,Rural,4563,467,0.36,Unsafe,4018530
Alkapuri,31,Urban,9148,7101,0.1,Safe,2650230
Pal,59,Rural,7000,5433,0.09,Safe,7388595
Ghanshyam Nagar,148,Rural,9066,6299,0.95,Safe,4886555
P N Marg,160,Rural,3854,605,0.4,Unsafe,9112561
Sarkhej,65,Rural,5389,6681,0.18,Safe,8050451
Chandkheda,158,Suburban,6583,7248,0.3,Safe,3260142
Karelibaug,10,Suburban,5964,5819,0.86,Safe,3948253
Patel Colony,5,Urban,6035,6783,0.38,Unsafe,471098
Joshipura,161,Rural,9909,8912,0.45,Unsafe,9444249
Fatehgunj,48,Suburban,5891,8792,0.36,Unsafe,4289494
Rander,172,Urban,7423,1954,0.38,Unsafe,1064534
Ankleshwar GIDC,122,Suburban,2654,9336,0.42,Unsafe,3676379
Fatehgunj,139,Suburban,2072,2783,0.88,Safe,2949037
Kalawad Road,4,Urban,3061,6683,0.78,Safe,9164924
Fatehgunj,99,Suburban,1842,7192,0.82,Safe,4036785
Amin Marg,33,Urban,7229,8429,0.97,Unsafe,2499988
Vallabh Nagar,117,Suburban,8139,6740,0.53,Safe,4542480
Joshipura,33,Urban,8876,152,0.89,Safe,3018480
Gotri,110,Rural,7161,6617,0.66,Safe,1597450
Sector 17,123,Urban,7085,2312,0.03,Unsafe,644343
Sector 25,50,Rural,9041,7643,0.64,Unsafe,9248710
Lambhvel,156,Suburban,4125,2545,0.05,Safe,3552275
Ghogha Circle,181,Rural,8350,7263,0.31,Safe,7184942
Dahej,36,Rural,4830,4026,0.49,Unsafe,3436033
Sector 29,1,Rural,4268,5084,0.65,Unsafe,896975
Pal,128,Rural,7884,4262,0.32,Safe,936645
Kalavad Road,73,Rural,123,167,0.61,Safe,912909
Amin Marg,189,Suburban,3178,3306,0.56,Unsafe,4331526
Zadeshwar,14,Rural,2404,8019,0.86,Unsafe,8215275
Kalwa Chowk,139,Rural,4764,9823,0.95,Safe,6140312
Akota,109,Urban,8716,5825,0.27,Unsafe,6589449
K V Road,78,Rural,54,4730,0.19,Safe,8797885
Waghodia Road,106,Urban,6554,4256,0.36,Unsafe,4836365
Park Colony,135,Rural,3115,6694,0.97,Safe,6599908
Ghogha Road,72,Urban,7682,5223,0.66,Safe,7424487
